SK_ID_CURR,TARGET
100001,0.22
100005,0.31
100013,0.15
100028,0.1
100038,0.2
100042,0.13
100057,0.17
100065,0.15
100066,0.13
100067,0.25
100074,0.25
100090,0.2
100091,0.3
100092,0.22
100106,0.2
100107,0.14
100109,0.19
100117,0.19
100128,0.25
100141,0.17
100150,0.07
100168,0.17
100169,0.19
100170,0.17
100171,0.17
100172,0.33
100184,0.24
100187,0.22
100212,0.26
100222,0.21
100223,0.13
100232,0.2
100241,0.29
100245,0.18
100253,0.22
100256,0.25
100271,0.2
100278,0.31
100280,0.16
100306,0.29
100311,0.27
100312,0.25
100330,0.23
100331,0.18
100352,0.19
100358,0.19
100367,0.18
100382,0.28
100384,0.23
100385,0.31
100386,0.14
100399,0.23
100404,0.25
100416,0.18
100422,0.29
100426,0.16
100438,0.13
100444,0.27
100445,0.25
100446,0.29
100447,0.19
100450,0.21
100466,0.12
100483,0.1
100484,0.17
100494,0.13
100510,0.23
100512,0.15
100517,0.14
100548,0.12
100551,0.18
100552,0.27
100553,0.2
100561,0.32
100568,0.37
100569,0.24
100591,0.16
100592,0.14
100602,0.22
100607,0.14
100613,0.22
100617,0.27
100618,0.31
100622,0.22
100625,0.31
100677,0.26
100699,0.15
100702,0.47
100711,0.17
100729,0.19
100740,0.25
100744,0.2
100745,0.2
100747,0.26
100751,0.29
100752,0.2
100753,0.33
100754,0.26
100760,0.2
100762,0.23
100763,0.2
100765,0.15
100770,0.16
100772,0.2
100777,0.14
100791,0.25
100792,0.15
100797,0.19
100823,0.19
100826,0.17
100830,0.18
100836,0.35
100872,0.24
100910,0.16
100913,0.29
100918,0.17
100931,0.08
100952,0.19
100953,0.16
100965,0.33
100970,0.15
100982,0.19
100983,0.3
100984,0.12
100987,0.23
100997,0.1
100998,0.37
101002,0.3
101005,0.23
101008,0.34
101020,0.19
101021,0.22
101024,0.25
101025,0.21
101026,0.17
101031,0.11
101041,0.14
101051,0.12
101055,0.22
101056,0.42
101057,0.18
101064,0.08
101079,0.22
101087,0.24
101090,0.12
101092,0.2
101097,0.23
101099,0.05
101107,0.23
101118,0.24
101125,0.21
101126,0.08
101128,0.14
101136,0.27
101140,0.33
101149,0.13
101160,0.17
101169,0.24
101181,0.15
101186,0.16
101190,0.17
101193,0.17
101194,0.22
101198,0.23
101200,0.13
101204,0.22
101211,0.21
101213,0.21
101223,0.12
101225,0.29
101237,0.2
101243,0.16
101244,0.31
101258,0.13
101259,0.3
101268,0.27
101269,0.23
101271,0.32
101279,0.09
101281,0.27
101287,0.16
101292,0.14
101294,0.21
101296,0.19
101297,0.19
101299,0.15
101301,0.12
101305,0.22
101308,0.2
101318,0.11
101327,0.2
101329,0.11
101332,0.21
101337,0.15
101343,0.18
101345,0.14
101346,0.17
101353,0.1
101354,0.21
101355,0.24
101356,0.11
101362,0.18
101363,0.43
101365,0.1
101366,0.17
101367,0.31
101368,0.13
101374,0.29
101380,0.14
101383,0.08
101398,0.14
101399,0.3
101401,0.25
101412,0.16
101426,0.18
101427,0.37
101428,0.31
101429,0.2
101434,0.19
101440,0.22
101448,0.17
101449,0.22
101465,0.19
101467,0.22
101472,0.21
101478,0.22
101497,0.27
101504,0.2
101547,0.19
101548,0.25
101555,0.21
101570,0.18
101572,0.2
101578,0.22
101580,0.32
101588,0.29
101602,0.18
101610,0.3
101614,0.28
101616,0.23
101643,0.25
101644,0.26
101649,0.23
101650,0.13
101665,0.11
101667,0.23
101669,0.17
101674,0.24
101675,0.12
101678,0.19
101682,0.17
101686,0.15
101697,0.32
101700,0.25
101711,0.13
101714,0.11
101715,0.37
101728,0.22
101732,0.16
101757,0.23
101758,0.11
101759,0.15
101762,0.22
101764,0.15
101780,0.32
101784,0.1
101789,0.16
101816,0.19
101819,0.24
101827,0.03
101863,0.24
101867,0.31
101870,0.18
101873,0.4
101878,0.24
101879,0.2
101880,0.11
101887,0.23
101897,0.29
101901,0.24
101903,0.24
101920,0.16
101921,0.15
101922,0.18
101961,0.28
101962,0.12
101971,0.17
101976,0.29
102002,0.21
102005,0.13
102007,0.4
102017,0.21
102019,0.38
102029,0.11
102051,0.17
102052,0.06
102054,0.13
102062,0.23
102067,0.29
102068,0.25
102070,0.17
102090,0.22
102092,0.28
102099,0.27
102100,0.2
102112,0.18
102113,0.15
102122,0.32
102123,0.26
102125,0.13
102126,0.34
102146,0.16
102147,0.24
102151,0.16
102158,0.15
102159,0.15
102162,0.23
102165,0.25
102166,0.14
102174,0.18
102193,0.28
102198,0.14
102205,0.27
102206,0.14
102218,0.22
102221,0.06
102230,0.15
102238,0.13
102248,0.11
102252,0.37
102259,0.19
102262,0.2
102273,0.23
102286,0.24
102293,0.12
102294,0.17
102296,0.14
102298,0.15
102303,0.23
102309,0.21
102315,0.21
102340,0.15
102342,0.18
102344,0.17
102346,0.22
102347,0.12
102374,0.25
102380,0.11
102387,0.16
102393,0.14
102403,0.13
102413,0.17
102414,0.23
102415,0.18
102416,0.19
102439,0.2
102441,0.16
102443,0.18
102444,0.21
102445,0.34
102448,0.23
102449,0.14
102450,0.2
102456,0.16
102458,0.24
102459,0.14
102465,0.19
102470,0.18
102471,0.22
102475,0.25
102476,0.22
102506,0.26
102509,0.14
102519,0.17
102522,0.17
102545,0.16
102549,0.15
102562,0.13
102563,0.18
102568,0.26
102582,0.19
102592,0.19
102597,0.31
102605,0.15
102614,0.2
102617,0.27
102634,0.22
102652,0.16
102655,0.06
102671,0.19
102694,0.18
102701,0.23
102703,0.13
102704,0.11
102713,0.16
102720,0.25
102731,0.13
102733,0.13
102749,0.22
102755,0.2
102763,0.19
102770,0.24
102772,0.28
102799,0.35
102838,0.19
102854,0.13
102862,0.25
102863,0.16
102867,0.15
102868,0.18
102878,0.16
102887,0.15
102898,0.38
102904,0.16
102912,0.22
102919,0.13
102927,0.2
102932,0.17
102933,0.19
102935,0.14
102958,0.25
102969,0.19
102971,0.17
102975,0.14
102979,0.22
102982,0.14
102987,0.25
102989,0.22
102995,0.18
102996,0.23
103000,0.19
103001,0.25
103004,0.17
103010,0.09
103025,0.34
103029,0.17
103046,0.23
103056,0.21
103062,0.29
103078,0.14
103083,0.12
103092,0.19
103096,0.17
103097,0.3
103102,0.29
103112,0.29
103132,0.11
103144,0.29
103145,0.18
103146,0.11
103147,0.18
103158,0.14
103171,0.3
103173,0.13
103184,0.16
103195,0.37
103196,0.24
103206,0.24
103230,0.2
103231,0.21
103232,0.11
103239,0.28
103240,0.3
103243,0.17
103252,0.26
103258,0.2
103259,0.22
103279,0.11
103280,0.13
103286,0.11
103287,0.43
103290,0.15
103298,0.16
103315,0.1
103319,0.06
103334,0.27
103336,0.25
103345,0.23
103368,0.22
103371,0.32
103377,0.26
103398,0.16
103404,0.19
103408,0.25
103410,0.18
103418,0.16
103420,0.27
103432,0.16
103433,0.14
103436,0.11
103440,0.18
103453,0.32
103459,0.18
103460,0.17
103461,0.12
103462,0.21
103473,0.27
103474,0.1
103475,0.3
103478,0.24
103480,0.18
103484,0.19
103494,0.29
103513,0.25
103515,0.16
103516,0.23
103525,0.22
103541,0.26
103544,0.16
103562,0.27
103570,0.29
103572,0.31
103574,0.21
103575,0.18
103591,0.17
103594,0.19
103609,0.11
103613,0.25
103614,0.29
103615,0.16
103624,0.12
103625,0.34
103628,0.32
103629,0.11
103647,0.14
103648,0.14
103651,0.17
103658,0.12
103668,0.19
103669,0.2
103676,0.19
103682,0.18
103683,0.16
103689,0.22
103725,0.15
103733,0.18
103744,0.18
103762,0.18
103771,0.36
103773,0.15
103783,0.22
103784,0.09
103808,0.05
103812,0.19
103813,0.16
103814,0.21
103818,0.29
103824,0.16
103828,0.08
103830,0.29
103840,0.16
103842,0.19
103847,0.29
103848,0.22
103851,0.1
103854,0.4
103857,0.33
103861,0.05
103862,0.25
103865,0.25
103870,0.12
103876,0.18
103891,0.39
103908,0.14
103914,0.25
103918,0.19
103940,0.17
103963,0.21
103966,0.25
103971,0.23
103980,0.26
103984,0.14
103985,0.2
103998,0.33
104019,0.07
104026,0.17
104035,0.24
104044,0.21
104045,0.13
104047,0.31
104051,0.16
104058,0.06
104063,0.15
104066,0.29
104087,0.07
104089,0.16
104095,0.13
104098,0.27
104104,0.14
104110,0.3
104120,0.18
104122,0.14
104131,0.11
104132,0.11
104135,0.11
104136,0.22
104149,0.1
104150,0.16
104156,0.31
104165,0.28
104175,0.21
104179,0.18
104184,0.23
104206,0.11
104216,0.34
104230,0.19
104257,0.14
104272,0.13
104273,0.18
104278,0.11
104294,0.23
104295,0.15
104297,0.13
104298,0.18
104308,0.22
104318,0.09
104319,0.15
104320,0.41
104327,0.25
104334,0.09
104344,0.21
104350,0.15
104351,0.24
104354,0.2
104369,0.23
104376,0.1
104381,0.21
104384,0.19
104391,0.12
104394,0.19
104398,0.34
104402,0.15
104408,0.23
104409,0.11
104410,0.31
104412,0.12
104417,0.24
104424,0.22
104426,0.13
104435,0.13
104445,0.21
104458,0.18
104460,0.18
104466,0.07
104472,0.26
104473,0.2
104479,0.16
104480,0.14
104482,0.21
104499,0.11
104501,0.05
104502,0.13
104506,0.14
104510,0.11
104512,0.26
104520,0.18
104528,0.26
104529,0.12
104541,0.19
104578,0.22
104584,0.2
104588,0.18
104602,0.17
104610,0.09
104611,0.19
104618,0.25
104620,0.18
104622,0.07
104624,0.16
104625,0.25
104634,0.27
104639,0.18
104646,0.16
104647,0.16
104652,0.21
104670,0.26
104677,0.07
104685,0.24
104691,0.22
104696,0.25
104699,0.05
104712,0.15
104714,0.14
104717,0.19
104718,0.14
104740,0.15
104741,0.2
104743,0.12
104744,0.2
104747,0.31
104767,0.11
104772,0.31
104776,0.25
104779,0.18
104814,0.21
104815,0.2
104830,0.16
104831,0.25
104833,0.18
104839,0.16
104840,0.16
104860,0.31
104861,0.3
104866,0.21
104870,0.14
104877,0.2
104878,0.06
104879,0.11
104880,0.22
104899,0.14
104906,0.19
104907,0.25
104913,0.18
104916,0.17
104921,0.18
104930,0.1
104931,0.26
104936,0.21
104937,0.19
104942,0.15
104943,0.18
104969,0.33
104972,0.24
104988,0.16
105013,0.1
105015,0.19
105019,0.22
105027,0.18
105030,0.14
105035,0.4
105041,0.18
105051,0.19
105056,0.14
105067,0.38
105071,0.16
105072,0.13
105074,0.21
105091,0.24
105101,0.13
105103,0.12
105134,0.11
105139,0.19
105142,0.28
105146,0.1
105163,0.13
105168,0.2
105172,0.13
105176,0.42
105195,0.2
105196,0.26
105197,0.09
105203,0.15
105223,0.22
105227,0.29
105228,0.11
105230,0.3
105231,0.33
105239,0.18
105242,0.17
105244,0.16
105245,0.17
105248,0.21
105249,0.18
105266,0.29
105271,0.23
105276,0.21
105282,0.2
105292,0.17
105297,0.09
105332,0.2
105333,0.22
105343,0.2
105344,0.21
105345,0.27
105357,0.11
105359,0.22
105366,0.17
105367,0.14
105370,0.15
105377,0.19
105390,0.22
105399,0.21
105403,0.21
105404,0.18
105414,0.13
105417,0.12
105425,0.27
105452,0.31
105454,0.24
105456,0.16
105470,0.11
105471,0.12
105483,0.16
105493,0.2
105508,0.27
105514,0.23
105515,0.08
105528,0.43
105529,0.16
105531,0.18
105532,0.17
105558,0.06
105574,0.11
105578,0.08
105584,0.36
105595,0.24
105617,0.27
105618,0.12
105621,0.18
105625,0.22
105629,0.13
105630,0.07
105634,0.13
105635,0.17
105641,0.17
105647,0.22
105648,0.13
105655,0.17
105657,0.15
105672,0.18
105678,0.18
105682,0.18
105691,0.22
105692,0.18
105706,0.26
105712,0.16
105720,0.15
105734,0.15
105735,0.23
105736,0.21
105737,0.07
105738,0.17
105740,0.29
105744,0.13
105747,0.21
105749,0.23
105754,0.16
105758,0.22
105760,0.18
105767,0.23
105784,0.19
105791,0.12
105802,0.31
105807,0.31
105809,0.25
105816,0.16
105817,0.24
105824,0.22
105832,0.16
105856,0.1
105865,0.15
105899,0.31
105906,0.1
105916,0.16
105923,0.22
105937,0.2
105965,0.13
105966,0.22
105968,0.23
105973,0.18
105976,0.2
105978,0.23
105979,0.12
105991,0.22
105998,0.24
105999,0.13
106000,0.4
106001,0.1
106010,0.2
106011,0.16
106013,0.26
106015,0.1
106026,0.1
106032,0.13
106035,0.33
106040,0.16
106041,0.14
106044,0.16
106053,0.3
106054,0.14
106065,0.22
106081,0.11
106083,0.12
106087,0.17
106090,0.2
106101,0.15
106102,0.13
106109,0.22
106116,0.14
106150,0.12
106155,0.21
106166,0.22
106176,0.2
106189,0.13
106199,0.16
106205,0.28
106206,0.24
106211,0.15
106214,0.17
106216,0.23
106217,0.19
106225,0.19
106249,0.12
106256,0.2
106258,0.11
106261,0.15
106262,0.29
106264,0.2
106271,0.19
106276,0.13
106277,0.23
106286,0.27
106293,0.16
106295,0.19
106296,0.13
106297,0.21
106298,0.15
106311,0.09
106314,0.25
106320,0.23
106334,0.19
106346,0.21
106347,0.11
106349,0.23
106354,0.22
106360,0.1
106373,0.2
106377,0.22
106386,0.28
106387,0.22
106391,0.09
106401,0.31
106411,0.16
106413,0.36
106426,0.28
106427,0.26
106428,0.21
106434,0.15
106438,0.17
106440,0.14
106441,0.14
106452,0.28
106453,0.18
106454,0.19
106457,0.14
106484,0.1
106488,0.27
106491,0.28
106514,0.22
106527,0.23
106528,0.32
106529,0.08
106534,0.23
106550,0.22
106577,0.19
106585,0.3
106590,0.11
106607,0.1
106610,0.22
106611,0.15
106612,0.21
106624,0.09
106631,0.11
106647,0.38
106660,0.26
106674,0.25
106687,0.18
106712,0.15
106713,0.14
106717,0.2
106720,0.19
106721,0.29
106724,0.16
106735,0.19
106739,0.18
106740,0.16
106754,0.13
106760,0.37
106761,0.16
106784,0.16
106787,0.18
106797,0.16
106798,0.22
106802,0.26
106803,0.3
106804,0.25
106805,0.15
106810,0.23
106812,0.33
106813,0.2
106817,0.16
106822,0.15
106823,0.22
106827,0.11
106841,0.17
106851,0.32
106852,0.14
106853,0.23
106854,0.31
106861,0.16
106873,0.18
106877,0.13
106878,0.11
106881,0.25
106900,0.15
106906,0.17
106907,0.24
106914,0.35
106916,0.16
106924,0.14
106931,0.2
106936,0.26
106937,0.2
106938,0.17
106939,0.18
106943,0.17
106944,0.25
106967,0.21
106980,0.21
106986,0.18
106987,0.21
106990,0.19
107013,0.13
107023,0.17
107033,0.12
107037,0.21
107048,0.16
107071,0.12
107081,0.11
107113,0.17
107130,0.1
107131,0.19
107145,0.2
107156,0.24
107219,0.12
107222,0.18
107223,0.35
107232,0.23
107245,0.17
107246,0.15
107247,0.25
107256,0.08
107259,0.18
107260,0.11
107279,0.23
107280,0.16
107281,0.21
107285,0.15
107329,0.15
107337,0.28
107349,0.12
107350,0.17
107351,0.15
107359,0.29
107391,0.2
107394,0.18
107395,0.13
107406,0.16
107416,0.21
107417,0.18
107418,0.15
107419,0.18
107444,0.14
107445,0.16
107446,0.15
107460,0.28
107470,0.18
107475,0.13
107520,0.19
107526,0.25
107527,0.16
107530,0.08
107532,0.18
107534,0.26
107535,0.22
107554,0.38
107556,0.24
107559,0.23
107561,0.2
107564,0.13
107566,0.21
107571,0.18
107590,0.27
107602,0.24
107625,0.21
107626,0.28
107635,0.21
107636,0.19
107645,0.26
107652,0.25
107655,0.12
107668,0.18
107670,0.12
107677,0.13
107680,0.21
107683,0.26
107684,0.17
107691,0.11
107692,0.25
107703,0.23
107709,0.08
107710,0.24
107721,0.35
107725,0.23
107727,0.22
107739,0.13
107740,0.15
107741,0.19
107747,0.14
107765,0.37
107768,0.07
107775,0.2
107782,0.27
107790,0.21
107801,0.15
107807,0.13
107811,0.17
107817,0.25
107826,0.17
107838,0.25
107839,0.19
107843,0.3
107847,0.18
107849,0.26
107850,0.18
107867,0.27
107871,0.25
107908,0.25
107913,0.27
107927,0.13
107931,0.1
107955,0.08
107962,0.19
107977,0.19
107978,0.2
107993,0.21
108010,0.25
108016,0.18
108018,0.41
108027,0.25
108045,0.34
108069,0.25
108082,0.09
108089,0.26
108092,0.11
108106,0.09
108112,0.18
108120,0.25
108122,0.31
108135,0.17
108170,0.13
108171,0.17
108177,0.1
108180,0.21
108183,0.16
108184,0.07
108185,0.19
108192,0.19
108195,0.21
108196,0.24
108218,0.15
108219,0.27
108243,0.25
108249,0.1
108251,0.1
108274,0.15
108280,0.34
108289,0.16
108292,0.21
108295,0.19
108327,0.2
108332,0.19
108346,0.16
108349,0.12
108353,0.19
108362,0.14
108363,0.09
108377,0.45
108378,0.2
108381,0.14
108383,0.24
108390,0.22
108407,0.12
108408,0.15
108411,0.11
108412,0.11
108419,0.22
108436,0.32
108437,0.34
108438,0.22
108441,0.15
108448,0.14
108449,0.17
108466,0.16
108467,0.13
108473,0.21
108474,0.23
108476,0.2
108479,0.15
108486,0.1
108493,0.12
108501,0.14
108506,0.32
108510,0.22
108511,0.25
108514,0.16
108517,0.12
108519,0.14
108522,0.15
108548,0.34
108554,0.22
108555,0.25
108559,0.17
108562,0.08
108571,0.17
108572,0.12
108579,0.15
108583,0.12
108584,0.11
108592,0.25
108602,0.25
108609,0.14
108613,0.23
108616,0.21
108618,0.18
108620,0.15
108643,0.08
108649,0.13
108654,0.26
108655,0.12
108656,0.23
108667,0.22
108668,0.18
108682,0.2
108690,0.17
108691,0.21
108692,0.2
108695,0.2
108699,0.17
108710,0.19
108718,0.23
108739,0.33
108740,0.13
108741,0.08
108742,0.24
108763,0.14
108767,0.2
108769,0.36
108779,0.34
108788,0.17
108801,0.22
108802,0.22
108810,0.21
108811,0.17
108813,0.09
108814,0.21
108825,0.12
108826,0.25
108830,0.28
108834,0.2
108852,0.16
108887,0.25
108901,0.27
108908,0.15
108910,0.14
108920,0.2
108922,0.19
108929,0.22
108930,0.24
108937,0.35
108938,0.18
108943,0.2
108948,0.13
108953,0.15
108956,0.28
108965,0.24
108985,0.25
108986,0.19
108987,0.1
