SK_ID_CURR,TARGET
100001,0.4
100005,0.49
100013,0.28
100028,0.24
100038,0.43
100042,0.41
100057,0.31
100065,0.31
100066,0.19
100067,0.32
100074,0.39
100090,0.33
100091,0.48
100092,0.4
100106,0.46
100107,0.39
100109,0.37
100117,0.38
100128,0.37
100141,0.35
100150,0.28
100168,0.41
100169,0.45
100170,0.27
100171,0.34
100172,0.5
100184,0.46
100187,0.43
100212,0.41
100222,0.37
100223,0.28
100232,0.29
100241,0.48
100245,0.28
100253,0.35
100256,0.33
100271,0.37
100278,0.41
100280,0.33
100306,0.46
100311,0.42
100312,0.37
100330,0.39
100331,0.29
100352,0.44
100358,0.38
100367,0.36
100382,0.46
100384,0.31
100385,0.4
100386,0.38
100399,0.29
100404,0.46
100416,0.34
100422,0.35
100426,0.34
100438,0.21
100444,0.39
100445,0.36
100446,0.36
100447,0.37
100450,0.38
100466,0.33
100483,0.4
100484,0.36
100494,0.29
100510,0.41
100512,0.36
100517,0.34
100548,0.35
100551,0.34
100552,0.47
100553,0.33
100561,0.42
100568,0.35
100569,0.39
100591,0.35
100592,0.32
100602,0.32
100607,0.32
100613,0.4
100617,0.44
100618,0.41
100622,0.4
100625,0.43
100677,0.37
100699,0.26
100702,0.51
100711,0.38
100729,0.47
100740,0.37
100744,0.38
100745,0.31
100747,0.26
100751,0.46
100752,0.4
100753,0.44
100754,0.31
100760,0.35
100762,0.47
100763,0.41
100765,0.3
100770,0.39
100772,0.27
100777,0.27
100791,0.3
100792,0.26
100797,0.3
100823,0.36
100826,0.32
100830,0.33
100836,0.5
100872,0.35
100910,0.39
100913,0.5
100918,0.41
100931,0.36
100952,0.34
100953,0.34
100965,0.49
100970,0.42
100982,0.41
100983,0.48
100984,0.33
100987,0.3
100997,0.38
100998,0.44
101002,0.38
101005,0.47
101008,0.49
101020,0.35
101021,0.39
101024,0.37
101025,0.42
101026,0.49
101031,0.33
101041,0.24
101051,0.25
101055,0.37
101056,0.45
101057,0.3
101064,0.5
101079,0.51
101087,0.44
101090,0.41
101092,0.4
101097,0.49
101099,0.36
101107,0.36
101118,0.42
101125,0.4
101126,0.35
101128,0.33
101136,0.4
101140,0.49
101149,0.47
101160,0.39
101169,0.46
101181,0.34
101186,0.4
101190,0.48
101193,0.35
101194,0.42
101198,0.46
101200,0.29
101204,0.36
101211,0.46
101213,0.4
101223,0.33
101225,0.35
101237,0.4
101243,0.47
101244,0.4
101258,0.55
101259,0.5
101268,0.43
101269,0.38
101271,0.35
101279,0.39
101281,0.39
101287,0.28
101292,0.37
101294,0.36
101296,0.44
101297,0.28
101299,0.37
101301,0.33
101305,0.38
101308,0.38
101318,0.28
101327,0.44
101329,0.35
101332,0.4
101337,0.35
101343,0.24
101345,0.24
101346,0.41
101353,0.34
101354,0.44
101355,0.41
101356,0.38
101362,0.36
101363,0.5
101365,0.32
101366,0.31
101367,0.39
101368,0.23
101374,0.37
101380,0.37
101383,0.41
101398,0.39
101399,0.47
101401,0.46
101412,0.38
101426,0.39
101427,0.45
101428,0.41
101429,0.42
101434,0.3
101440,0.36
101448,0.35
101449,0.4
101465,0.42
101467,0.38
101472,0.34
101478,0.46
101497,0.4
101504,0.39
101547,0.3
101548,0.39
101555,0.42
101570,0.3
101572,0.42
101578,0.4
101580,0.48
101588,0.49
101602,0.36
101610,0.4
101614,0.36
101616,0.47
101643,0.37
101644,0.39
101649,0.36
101650,0.31
101665,0.3
101667,0.34
101669,0.34
101674,0.36
101675,0.33
101678,0.47
101682,0.33
101686,0.43
101697,0.49
101700,0.44
101711,0.38
101714,0.34
101715,0.51
101728,0.36
101732,0.36
101757,0.49
101758,0.3
101759,0.4
101762,0.37
101764,0.36
101780,0.51
101784,0.28
101789,0.29
101816,0.49
101819,0.32
101827,0.28
101863,0.37
101867,0.38
101870,0.33
101873,0.49
101878,0.36
101879,0.32
101880,0.23
101887,0.34
